OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1768307,WINDSOR DR,WINDSOR,DR,Windsor Dr,Windsor,STILLWATER LAKE,STILLWATER LAKE,5590,5590,4478.988607
1768308,HIGHWAY 102 SB EXIT 4B HIGHWAY 101 WB RAMP,HIGHWAY 102 SB EXIT 4B HIGHWAY 101 WB,RAMP,,,LOWER SACKVILLE,LOWER SACKVILLE,15191,15191,889.1945518
1768309,HIGHWAY 102,HIGHWAY 102,,Highway 102,Highway 102,ENFIELD,ENFIELD,4415,4415,11813.18713
1768310,HIGHWAY 103,HIGHWAY 103,,Highway 103,Highway 103,TIMBERLEA,TIMBERLEA,4329,4329,23365.93447
1768311,ST MARGARETS BAY RD,ST MARGARETS BAY,RD,St Margarets Bay Rd,St Margarets Bay,HUBLEY,HUBLEY,10431,10431,5276.512869
1768312,TRANQUILITY WAY,TRANQUILITY,WAY,Tranquility Way,Tranquility,THIRD LAKE,THIRD LAKE,17040,17040,83.10533246
1768313,ANSON RD,ANSON,RD,Anson Rd,Anson,SHEARWATER,SHEARWATER,16779,16779,1525.593652
1768314,WAXWING LANE,WAXWING,LANE,Waxwing Lane,Waxwing,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66790,66790,511.2260458
1768315,ZINNIA LANE,ZINNIA,LANE,Zinnia Lane,Zinnia,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66791,66791,297.4286627
1768316,MIDNIGHT RUN,MIDNIGHT,RUN,Midnight Run,Midnight,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66787,66787,3396.628762
1768317,BONDI DR,BONDI,DR,Bondi Dr,Bondi,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66781,66781,333.3693143
1768318,PETIT LAC RD,PETIT LAC,RD,Petit Lac Rd,Petit Lac,WEST CHEZZETCOOK,WEST CHEZZETCOOK,8441,8441,392.3966601
1768319,OAKRIDGE WAY,OAKRIDGE,WAY,Oakridge Way,Oakridge,HUBLEY,HUBLEY,8325,8325,885.6169811
1768320,WHITE SANDS CRT,WHITE SANDS,CRT,White Sands Crt,White Sands,HUBLEY,HUBLEY,5568,5568,319.2271049
1768321,GASPEREAU RUN,GASPEREAU,RUN,Gaspereau Run,Gaspereau,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66784,66784,2378.742534
1768322,PEEPERS WAY,PEEPERS,WAY,Peepers Way,Peepers,FALL RIVER,FALL RIVER,66796,66796,237.8725247
1768323,KRAUSE CRT,KRAUSE,CRT,Krause Crt,Krause,DARTMOUTH,DARTMOUTH,17046,17046,335.5972727
1768324,SHADEWELL LANE,SHADEWELL,LANE,Shadewell Lane,Shadewell,LAKE ECHO,LAKE ECHO,16712,16712,1042.445698
1768325,ROWBOAT ROW,ROWBOAT,ROW,Rowboat Row,Rowboat,HUBBARDS,HUBBARDS,16714,16714,160.2404093
1768326,VICTORIA RD NB EXIT 2 HIGHWAY 111 EB RAMP,VICTORIA RD NB EXIT 2 HIGHWAY 111 EB,RAMP,,,DARTMOUTH,DARTMOUTH,15124,15124,994.6378084
1768327,PAULS POINT RD,PAULS POINT,RD,Pauls Point Rd,Pauls Point,HACKETTS COVE,HACKETTS COVE,8423,8423,1774.10745
1768328,HIGHWAY 111 EB EXIT 2 VICTORIA RD NB RAMP,HIGHWAY 111 EB EXIT 2 VICTORIA RD NB,RAMP,,,DARTMOUTH,DARTMOUTH,15125,15125,338.6721195
1768329,HIGHWAY 111 WB EXIT 2 VICTORIA RD SB RAMP,HIGHWAY 111 WB EXIT 2 VICTORIA RD SB,RAMP,,,DARTMOUTH,DARTMOUTH,15129,15129,401.1116785
1768330,HIGHWAY 111 WB EXIT 2 VICTORIA RD NB RAMP,HIGHWAY 111 WB EXIT 2 VICTORIA RD NB,RAMP,,,DARTMOUTH,DARTMOUTH,15130,15130,936.1872392
1768331,DARIUS LANE,DARIUS,LANE,Darius Lane,Darius,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,17132,17132,2110.99979
1768332,SUZANNE CRT,SUZANNE,CRT,Suzanne Crt,Suzanne,PORTERS LAKE,PORTERS LAKE,16719,16719,495.5731508
1768333,UNDER REVIEW  102 UN,UNDER REVIEW  102,UN,Under Review  102 Un,Under Review  102,HEAD OF CHEZZETCOOK,HEAD OF CHEZZETCOOK,99999,99999,1180.603617
1768334,UNDER REVIEW  317 UN,UNDER REVIEW  317,UN,Under Review  317 Un,Under Review  317,COLE HARBOUR,COLE HARBOUR,99999,99999,96.31080973
1768335,EDGEWATER CL,EDGEWATER,CL,Edgewater Cl,Edgewater,DARTMOUTH,DARTMOUTH,16242,16242,345.3033667
1768336,MERIDIAN CRT,MERIDIAN,CRT,Meridian Crt,Meridian,DARTMOUTH,DARTMOUTH,16327,16327,233.3403126
1768337,WAMPHRAY CRES,WAMPHRAY,CRES,Wamphray Cres,Wamphray,DARTMOUTH,DARTMOUTH,6692,6692,609.7227265
1768338,PAULA DR,PAULA,DR,Paula Dr,Paula,HAMMONDS PLAINS,HAMMONDS PLAINS,7457,7457,2710.547518
1768339,GOSLING CIR,GOSLING,CIR,Gosling Cir,Gosling,PORTERS LAKE,PORTERS LAKE,17173,17173,485.3395826
1768340,FOUNDERS CRT,FOUNDERS,CRT,Founders Crt,Founders,PORTERS LAKE,PORTERS LAKE,17166,17166,287.7164925
1768341,HIGHWAY 111 EB EXIT 6 ON RAMP,HIGHWAY 111 EB EXIT 6 ON,RAMP,Highway 111 EB Exit 6 On Ramp,Highway 111 EB Exit 6 On,DARTMOUTH,DARTMOUTH,15151,15151,511.8034706
1768342,HIGHWAY 111 WB EXIT 6 OFF RAMP,HIGHWAY 111 WB EXIT 6 OFF,RAMP,Highway 111 WB Exit 6 Off Ramp,Highway 111 WB Exit 6 Off,DARTMOUTH,DARTMOUTH,15152,15152,687.3923523
1768343,HIGHWAY 111 EB EXIT 6B OFF RAMP,HIGHWAY 111 EB EXIT 6B OFF,RAMP,Highway 111 EB Exit 6B Off Ramp,Highway 111 EB Exit 6B Off,DARTMOUTH,DARTMOUTH,15153,15153,845.2614941
1768344,BRAEMAR TO MAIN RAMP,BRAEMAR TO MAIN,RAMP,Braemar to Main Ramp,Braemar to Main,DARTMOUTH,DARTMOUTH,15154,15154,872.7280259
1768345,HIGHWAY 111 WB EXIT 1 ON RAMP,HIGHWAY 111 WB EXIT 1 ON,RAMP,Highway 111 WB Exit 1 On Ramp,Highway 111 WB Exit 1 On,DARTMOUTH,DARTMOUTH,15155,15155,207.6915405
1768346,HIGHWAY 111 EB EXIT 6A OFF RAMP,HIGHWAY 111 EB EXIT 6A OFF,RAMP,Highway 111 EB Exit 6A Off Ramp,Highway 111 EB Exit 6A Off,DARTMOUTH,DARTMOUTH,15156,15156,839.844576
1768347,HIGHWAY 111 NB EXIT 7 ON RAMP,HIGHWAY 111 NB EXIT 7 ON,RAMP,Highway 111 NB Exit 7 On Ramp,Highway 111 NB Exit 7 On,DARTMOUTH,DARTMOUTH,15157,15157,688.71087
1768348,HIGHWAY 102 NB EXIT 3B OFF RAMP,HIGHWAY 102 NB EXIT 3B OFF,RAMP,Highway 102 NB Exit 3B Off Ramp,Highway 102 NB Exit 3B Off,BEDFORD,BEDFORD,15199,15199,991.8414184
1768349,EAST RIVER RD,EAST RIVER,RD,East River Rd,East River,SHEET HARBOUR,SHEET HARBOUR,10289,10289,3841.064228
1768350,HIGHWAY 7,HIGHWAY 7, ,Highway 7,Highway 7,SMITHS SETTLEMENT,SMITHS SETTLEMENT,10488,10488,1928.288826
1768351,TWINING DR,TWINING,DR,Twining Dr,Twining,FALL RIVER,FALL RIVER,5504,5504,513.4626264
1768352,BROOKSIDE LANE,BROOKSIDE,LANE,Brookside Lane,Brookside,EAST CHEZZETCOOK,EAST CHEZZETCOOK,8369,8369,1358.962047
1768353,LOBSTER LANE,LOBSTER,LANE,Lobster Lane,Lobster,PEGGYS COVE,PEGGYS COVE,15717,15717,146.1644578
1768354,HIGHWAY 102 SB EXIT 2B ON RAMP,HIGHWAY 102 SB EXIT 2B ON,RAMP,Highway 102 SB Exit 2B On Ramp,Highway 102 SB Exit 2B On,BEDFORD,BEDFORD,16908,16908,493.525075
1768355,SPRUCE CRT,SPRUCE,CRT,Spruce Crt,Spruce,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,8766,8766,211.989593
1768356,HIGHWAY 102 SB EXIT 7 OFF RAMP,HIGHWAY 102 SB EXIT 7 OFF,RAMP,Highway 102 SB Exit 7 Off Ramp,Highway 102 SB Exit 7 Off,ENFIELD,ENFIELD,15115,15115,900.7565257
1768357,WHITE BIRCH LANE,WHITE BIRCH,LANE,White Birch Lane,White Birch,DARTMOUTH,DARTMOUTH,6705,6705,419.7786019
1768358,COLE DR,COLE,DR,Cole Dr,Cole,COLE HARBOUR,COLE HARBOUR,7308,7308,1134.735996
1768359,FOUNTAINE CRT,FOUNTAINE,CRT,Fountaine Crt,Fountaine,WEST CHEZZETCOOK,WEST CHEZZETCOOK,16446,16446,683.6327833
1768360,KNOLLWOOD LANE,KNOLLWOOD,LANE,Knollwood Lane,Knollwood,HALIFAX,HALIFAX,17129,17129,75.26791044
1768361,FENNERTY CRES,FENNERTY,CRES,Fennerty Cres,Fennerty,BEAVER BANK,BEAVER BANK,7532,7532,604.8606016
1768362,FRANKIE DR,FRANKIE,DR,Frankie Dr,Frankie,BEAVER BANK,BEAVER BANK,7582,7582,442.4181976
1768363,SUMMER FIELD WAY,SUMMER FIELD,WAY,Summer Field Way,Summer Field,DARTMOUTH,DARTMOUTH,15644,15644,1230.25714
1768364,WILBUR CRT,WILBUR,CRT,Wilbur Crt,Wilbur,DARTMOUTH,DARTMOUTH,6707,6707,92.20457022
1768365,WILDWOOD BLVD,WILDWOOD,BLVD,Wildwood Blvd,Wildwood,DARTMOUTH,DARTMOUTH,6708,6708,1874.884235
