X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.59212252,44.64830701,11009,AP44,PARKER ST,WINDSOR ST,WELSFORD ST,4,,,In Service,,North,Grass,Yes,No,2019-10-10T18:04:14.000Z,2020-01-27T15:17:25.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60687055,44.66540883,11010,AP32,SEBASTIAN ST,AGRICOLA ST,ISLEVILLE ST,5,,Sunday Only,In Service,,Northeast,Grass,Yes,No,2019-10-09T16:22:58.000Z,2019-11-13T12:19:18.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60083524,44.64700792,11011,AP37,ALLAN ST,HARVARD ST,OXFORD ST,1,No Time Restriction,,In Service,,Southwest,Grass,Yes,No,2019-10-10T14:24:35.000Z,2019-11-11T23:57:37.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59268062,44.65729288,11012,AP20,NORTHWOOD TERR,BLACK ST,NORTH ST,3,3 Hour,,In Service,,Southeast,Concrete,No,No,2019-10-09T14:19:27.000Z,2020-01-27T13:43:53.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60136229,44.64229345,11013,AP39,BEECH ST,NORWOOD ST,PEPPERELL ST,1,No Time Restriction,,In Service,,South,Grass,Yes,No,2019-10-10T14:39:29.000Z,2019-11-11T23:57:37.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60309387,44.65405627,11014,AP35,ALMON ST,WINDSOR ST,DEACON ST,4,3 Hour,,In Service,,Southwest,Concrete,Yes,Yes,2019-10-09T17:25:37.000Z,2020-01-27T14:02:10.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59577656,44.66476175,11015,AP29,VEITH ST,YOUNG ST,HANOVER ST,1,No Time Restriction,,In Service,,Northwest,Concrete,No,No,2019-10-09T16:01:05.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60065225,44.64286454,11016,AP40,CAMBRIDGE ST,PEPPERELL ST,NORWOOD ST,1,No Time Restriction,,In Service,,South,Grass,Yes,No,2019-10-10T14:46:27.000Z,2019-11-11T23:57:37.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59230781,44.65809476,11017,AP19,GOTTINGEN ST,BLACK ST,NORTH ST,1,3 Hour,,In Service,,Southeast,Concrete,No,No,2019-10-09T14:15:49.000Z,2019-11-11T23:56:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59579433,44.63542903,11018,AP46,OXFORD ST,COBURG RD,SOUTH ST,1,No Time Restriction,,In Service,,South,Grass,Yes,Yes,2019-10-10T18:14:57.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59946696,44.66165165,11019,AP27,KAYE ST,ISLEVILLE ST,GOTTINGEN ST,1,3 Hour,,In Service,,Northeast,Concrete,Yes,No,2019-10-09T14:58:37.000Z,2019-11-11T23:56:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59135622,44.6563921,11020,AP21,CREIGHTON ST,NORTH ST,CHARLES ST,1,No Time Restriction,,In Service,,Southeast,Grass,Yes,No,2019-10-09T14:23:40.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59408423,44.65581822,11021,AP24,AGRICOLA ST,NORTH ST,MCCULLY ST,1,3 Hour,,In Service,,Northwest,Grass,Yes,No,2019-10-09T14:37:38.000Z,2019-11-13T12:37:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5980491,44.66175119,11022,AP26,SULLIVAN ST,ISLEVILLE ST,GOTTINGEN ST,1,No Time Restriction,,In Service,,Northeast,Grass,Yes,No,2019-10-09T14:55:24.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.6017487,44.64517527,11023,AP38,KLINE ST,OAK ST,QUINPOOL RD,1,No Time Restriction,,In Service,,South,Grass,Yes,No,2019-10-10T14:34:15.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58750346,44.65431656,11024,AP22,BUDDY DAYE ST,CREIGHTON ST,GOTTINGEN ST,2,3 Hour,,In Service,,Northeast,Concrete,No,Yes,2019-10-09T14:30:01.000Z,2019-11-13T12:16:55.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59560077,44.6350084,11025,AP45,OXFORD ST,COBURG RD,SOUTH ST,2,No Time Restriction,,In Service,,South,Grass,Yes,No,2019-10-10T18:13:08.000Z,2020-01-27T14:14:03.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58422673,44.6514198,11026,AP23,CREIGHTON ST,CORNWALLIS ST,FALKLAND ST,1,No Time Restriction,,In Service,,Southeast,Both Concrete and Grass,No,Yes,2019-10-09T14:33:00.000Z,2019-11-13T12:20:23.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.61177192,44.66812087,11027,AP30,HIGHLAND AVE,NORMANDY DR,LEEDS ST,2,No Time Restriction,,In Service,,Northwest,Concrete,Yes,No,2019-10-09T16:06:03.000Z,2020-01-27T14:01:04.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.60176744,44.66197319,11028,AP33,KANE ST,AGRICOLA ST,ISLEVILLE ST,1,No Time Restriction,,In Service,,Northeast,Grass,Yes,No,2019-10-09T16:32:31.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.61321476,44.66663194,11029,AP31,NORMANDY DR,HIGH ST,ROBIE ST,2,No Time Restriction,,In Service,,Northeast,Concrete,No,No,2019-10-09T16:11:06.000Z,2020-01-27T14:01:07.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59656179,44.63720671,11030,AP47,OXFORD ST,COBURG RD,SOUTH ST,3,No Time Restriction,,In Service,,South,Grass,No,No,2019-10-10T18:23:18.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59363936,44.6473517,11031,AP43,QUINGATE PL,QUINPOOL RD,,1,No Time Restriction,,In Service,,North,Concrete,No,No,2019-10-10T15:21:53.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59862491,44.66194861,11032,AP28,KAYE ST,ISLEVILLE ST,GOTTINGEN ST,1,1 Hour,,In Service,,Northeast,Concrete,No,No,2019-10-09T14:59:08.000Z,2019-11-11T23:56:01.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56621447,44.66745548,11033,AP54,DUNDAS ST,OCHTERLONEY ST,QUEEN ST,1,2 Hour,,In Service,,East,Concrete,No,Yes,2019-10-16T16:07:55.000Z,2019-11-11T23:56:20.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57092748,44.64091225,11034,AP78,BARRINGTON ST,MORRIS ST,HARVEY ST,1,2 Hour,,In Service,,South,Concrete,No,No,2019-10-16T18:04:30.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57690951,44.64292433,11035,AP83,BIRMINGHAM ST,SPRING GARDEN RD,CLYDE ST,1,2 Hour,,In Service,,South,Concrete,Yes,No,2019-10-16T18:33:54.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56688938,44.66543013,11036,AP61,PORTLAND ST,KING ST,PRINCE ST,1,1 Hour,,In Service,,Southwest,Concrete,Yes,No,2019-10-16T16:20:24.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
