rec_key,Year,School Code,School Total
593,2008,229,35
594,2008,29,182
595,2008,662,162
596,2008,503,206
597,2008,407,439
598,2008,48,118
599,2008,228,365
600,2008,512,139
601,2008,513,110
602,2008,317,620
603,2008,739,474
604,2008,749,576
605,2008,425,254
606,2008,326,160
607,2008,97,1234
608,2008,104,330
609,2008,752,352
610,2008,304,221
611,2008,268,286
612,2008,298,384
613,2008,937,601
614,2008,291,767
615,2008,514,218
616,2008,322,326
617,2008,515,316
618,2008,519,314
619,2008,286,398
620,2008,595,321
621,2008,319,319
622,2008,516,378
623,2008,312,234
624,2008,743,410
625,2008,611,208
626,2008,358,1121
627,2008,596,279
628,2008,1109,1350
629,2008,600,289
630,2008,352,252
631,2008,357,1113
632,2008,339,210
633,2008,517,234
634,2008,605,226
635,2008,518,1092
636,2008,601,355
637,2008,328,218
638,2008,343,110
639,2008,283,70
640,2008,329,28
641,2008,351,506
642,2008,334,569
643,2008,614,303
644,2008,538,430
645,2008,564,264
646,2008,599,247
647,2008,578,428
648,2008,288,522
649,2008,356,377
650,2008,731,182
651,2008,314,427
652,2008,350,280
653,2008,568,219
654,2008,318,420
655,2008,602,380
656,2008,567,239
657,2008,8054,69
658,2008,592,1548
659,2008,306,524
660,2008,521,243
661,2008,740,172
662,2008,296,180
663,2008,313,507
664,2008,522,187
665,2008,293,315
666,2008,571,152
667,2008,310,229
668,2008,747,308
669,2008,327,239
670,2008,523,367
671,2008,579,181
672,2008,619,876
673,2008,539,205
674,2008,524,217
675,2008,607,323
676,2008,354,269
677,2008,569,111
678,2008,1103,595
679,2008,330,41
680,2008,338,369
681,2008,587,300
682,2008,353,336
683,2008,968,1329
684,2008,939,613
685,2008,526,260
686,2008,748,471
687,2008,745,659
688,2008,527,195
689,2008,342,412
690,2008,348,150
691,2008,324,104
692,2008,56,310
693,2008,131,366
694,2008,315,144
695,2008,572,346
696,2008,1141,543
697,2008,970,729
698,2008,969,405
699,2008,533,1145
700,2008,532,457
701,2008,282,259
702,2008,938,522
703,2008,359,169
704,2008,603,339
705,2008,609,269
706,2008,321,411
707,2008,309,99
708,2008,311,293
709,2008,303,630
710,2008,297,930
711,2008,581,115
