PARK_ID,HECTARES,PARK_NAME,PARK_TYPE,,,,,,,,,,,
469,2.46,ST. MARY'S BOAT CLUB PARK,District,,,,,,,,,,,
473,15.45,SPRINGFIELD LAKE RECREATION CENTRE PARK,District,,,,,,,,,,,
479,0.32,WALLACE LUCAS COMMUNITY CENTRE PARK,District,,,,,,,,,,,
481,0.09,WELLINGTON FIRE HALL PARK,Community,,,,,,,,,,,
482,3.52,NATHAN SMITH RECREATION CENTRE PARK,Community,,,,,,,,,,,
483,1.65,COLBY VILLAGE RECREATION CENTRE PARK,Community,,,,,,,,,,,
484,28.96,EASTERN PASSAGE COMMON,District,,,,,,,,,,,
485,5.44,DON BAYER PARK,District,,,,,,,,,,,
486,0.22,WITHROD DRIVE PARK,Neighbourhood,,,,,,,,,,,
489,1.17,STONE MOUNT DRIVE PARK,Neighbourhood,,,,,,,,,,,
491,0.82,BEAVERBROOK PARK,Neighbourhood,,,,,,,,,,,
492,0.66,HEAD OF JEDDORE PARK,Community,,,,,,,,,,,
493,5.44,BENNETT PARK,District,,,,,,,,,,,
494,0.94,WERNER PARK,Neighbourhood,,,,,,,,,,,
495,0.1,BRUCE DRIVE PARK,Neighbourhood,,,,,,,,,,,
496,0.08,INGLEWOOD CRESCENT PARK,Neighbourhood,,,,,,,,,,,
497,3.97,FERRY TERMINAL PARK,Regional,,,,,,,,,,,
499,0.02,WENTWORTH STREET PARK,Neighbourhood,,,,,,,,,,,
501,1.92,CRAIGBURN DRIVE PARK,Community,,,,,,,,,,,
502,0.06,MORRIS LAKE PARK,Community,,,,,,,,,,,
503,0.53,LAURA DRIVE PARK,Neighbourhood,,,,,,,,,,,
505,0.23,RAJEEVE PURBA MEMORIAL PARK,Neighbourhood,,,,,,,,,,,
506,0.15,WALKER AVENUE PARK,Neighbourhood,,,,,,,,,,,
507,0.18,BEDFORD VILLAGE PARK,Neighbourhood,,,,,,,,,,,
508,1.64,ADMIRAL HARRY DEWOLF PARK,Community,,,,,,,,,,,
509,0.2,MILLVIEW PARK,Neighbourhood,,,,,,,,,,,
510,0.04,RENFREW STREET PARK,Neighbourhood,,,,,,,,,,,
511,0.39,ROBERTSON PARK,Neighbourhood,,,,,,,,,,,
513,1.41,FARRELL STREET PARK,Community,,,,,,,,,,,
514,0.26,KENNETH WALKER PARK,Neighbourhood,,,,,,,,,,,
515,1.28,CHOCOLATE LAKE PARK,Community,,,,,,,,,,,
516,0.33,HAVILL PARK,Neighbourhood,,,,,,,,,,,
517,8.8,CONNAUGHT BATTERY PARK,Community,,,,,,,,,,,
518,0.16,BEECHVILLE ESTATES PARK,Neighbourhood,,,,,,,,,,,
519,0.28,SEAVIEW COMMUNITY PARK,Community,,,,,,,,,,,
521,0.24,TERENCE BAY PLAYGROUND,Neighbourhood,,,,,,,,,,,
523,1.9,YEADON GREEN PARK,Community,,,,,,,,,,,
525,0.55,WILCOT LANE PARK,Neighbourhood,,,,,,,,,,,
526,0.78,MARY LAWSON PARK,Community,,,,,,,,,,,
530,0.38,HIGH TIMBER DRIVE PARK,Neighbourhood,,,,,,,,,,,
531,0.41,DAUPHINEES POND PARK,Community,,,,,,,,,,,
532,0.15,MUNROE PARK,Neighbourhood,,,,,,,,,,,
534,3.22,LAURIE LIVELY PARK,Community,,,,,,,,,,,
535,0.03,ANDREW COBB PARK,Community,,,,,,,,,,,
536,0.74,VICTORIA PARK,Community,,,,,,,,,,,
537,0.6,BREAKERS DISTRICT PARK,District,,,,,,,,,,,
541,6.2,KINGSWOOD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
571,0.58,RITCEY CRESCENT PARK,Community,,,,,,,,,,,
600,0.75,GORDON J. STEVENS PARK,Community,,,,,,,,,,,
617,0.59,ELDERBANK PARK,Community,,,,,,,,,,,
621,13.4,JOHN GRANT PARK,Community,,,,,,,,,,,
644,0.26,PETPESWICK LAKE PARK,Community,,,,,,,,,,,
649,0.23,CONROD BEACH ROAD PARK,Neighbourhood,,,,,,,,,,,
652,1.45,GRAND DESERT PARK,Community,,,,,,,,,,,
661,3.03,MAYNARD LAKE PARK,Community,,,,,,,,,,,
684,0.6,EMERALD ESTATES PARK,Neighbourhood,,,,,,,,,,,
687,0.17,GREEN MEADOWS PARK,Neighbourhood,,,,,,,,,,,
694,3.2,RED BRIDGE POND PARK,District,,,,,,,,,,,
695,2.98,SCOTSDALE PARK,Community,,,,,,,,,,,
696,0.46,LORIANN DRIVE PARK,Neighbourhood,,,,,,,,,,,
712,0.13,MEADOWVIEW DRIVE PARK,Community,,,,,,,,,,,
724,1.59,AVENUE DU PORTAGE PARK,Community,,,,,,,,,,,
727,2.82,LISA ANN DRIVE PARK,Neighbourhood,,,,,,,,,,,
745,0.43,GREGORY DRIVE PARK,Community,,,,,,,,,,,
746,11.07,MOUNT EDWARD ROAD PARK,Community,,,,,,,,,,,
