PARK_ID,HECTARES,PARK_NAME,PARK_TYPE,,,,,,,,,,,
1864,3.09,MERV SULLIVAN PARK,Community,,,,,,,,,,,
1885,0.05,DEVONSHIRE/BARRINGTON PARKETTE,Community,,,,,,,,,,,
1889,15.59,BELCHERS MARSH PARK,District,,,,,,,,,,,
1890,0.58,MONTGOMERY COURT PARK,Neighbourhood,,,,,,,,,,,
1899,2.08,TURNMILL DRIVE PARK,Neighbourhood,,,,,,,,,,,
1905,0.63,RADCLIFFE DRIVE PARK,Community,,,,,,,,,,,
1923,1.93,STRATFORD WAY PARK AND GARDENS,Neighbourhood,,,,,,,,,,,
1942,0.9,TITUS SMITH PARK,Neighbourhood,,,,,,,,,,,
1943,0.8,PLATEAU CRESCENT PARK,Neighbourhood,,,,,,,,,,,
1944,2.01,GLENFOREST PARK,Neighbourhood,,,,,,,,,,,
1945,0.39,RANDALL AVENUE PARK,Neighbourhood,,,,,,,,,,,
1949,0.06,SYBYL COURT PARK,Neighbourhood,,,,,,,,,,,
1950,0.74,WILLETT STREET PARK,Neighbourhood,,,,,,,,,,,
1956,2.46,W. D. PIERCEY PARK,District,,,,,,,,,,,
1962,1.93,WEDGEWOOD PARK,Neighbourhood,,,,,,,,,,,
1969,4.16,GLENBOURNE PARK,Community,,,,,,,,,,,
1971,0.7,ROCKINGHAM RIDGE PARK,Neighbourhood,,,,,,,,,,,
1976,0.8,REMINGTON COURT PARK,Neighbourhood,,,,,,,,,,,
1988,0.36,CHELTON WOODS PARK,Neighbourhood,,,,,,,,,,,
1995,0.65,FISH HATCHERY PARK,Community,,,,,,,,,,,
2001,1.11,SCOTT MANOR HOUSE,District,,,,,,,,,,,
2004,0.23,DARTMOUTH ROAD PARK,Community,,,,,,,,,,,
2013,1.57,GOLF LINKS PARK,Neighbourhood,,,,,,,,,,,
2038,0.4,PICNIC COVE PARK,Community,,,,,,,,,,,
2039,0.19,LONG COVE PARK,Neighbourhood,,,,,,,,,,,
2050,0.09,BILL DOMPIERRE MEMORIAL PARK,Neighbourhood,,,,,,,,,,,
2071,0.26,TEACHERY PARK,Community,,,,,,,,,,,
2090,1.27,BEDFORD LIONS PARK,District,,,,,,,,,,,
2108,1.04,SOLUTIONS DRIVE PARK,Neighbourhood,,,,,,,,,,,
2112,0.09,MANDAVILLE COURT PARK,Neighbourhood,,,,,,,,,,,
2133,0.22,ARMSTRONG COURT PARK,Neighbourhood,,,,,,,,,,,
2135,0.65,CASTLE HILL PARK,Neighbourhood,,,,,,,,,,,
2152,9.21,TREMONT PLATEAU PARK,District,,,,,,,,,,,
2162,1.1,D. J. BUTLER PARK,Community,,,,,,,,,,,
2165,2.52,SHEFFIELD PARK,Community,,,,,,,,,,,
2174,0.27,LINCOLN CROSS PARK,Neighbourhood,,,,,,,,,,,
2179,1.33,MOIRS MILL PARK,District,,,,,,,,,,,
2185,0.09,PAPER MILL LANE PARK,Community,,,,,,,,,,,
2189,0.13,SALMON RIVER TERRACE PARK,Community,,,,,,,,,,,
2209,0.49,AMIN STREET PARK,Neighbourhood,,,,,,,,,,,
2211,1.24,AHMADI CRESCENT PARK,Neighbourhood,,,,,,,,,,,
2216,10.97,STARBOARD DRIVE PARK,Community,,,,,,,,,,,
2224,2.8,LAKEVIEW PARK,Community,,,,,,,,,,,
2233,1.38,NICHOLAS MEAGHERS PARK,Neighbourhood,,,,,,,,,,,
2251,0.21,ALDER CRESCENT PARK,Neighbourhood,,,,,,,,,,,
2281,0.73,SLEEPY PARK,Neighbourhood,,,,,,,,,,,
2294,1,FUN PARK,Neighbourhood,,,,,,,,,,,
2303,0.2,CHAPAIS DRIVE PARK,Neighbourhood,,,,,,,,,,,
2313,0.11,LEGACY COURT PARK,Neighbourhood,,,,,,,,,,,
2317,0.19,WINDWOOD DRIVE PARK,Neighbourhood,,,,,,,,,,,
2323,0.17,WYNN CASTLE DRIVE PARK,Neighbourhood,,,,,,,,,,,
2324,1.08,MEADOWLANDS PARK,Neighbourhood,,,,,,,,,,,
2329,1.33,LEASIDE COMMUNITY PARK,Community,,,,,,,,,,,
2332,2.88,WILLIAM HENRY HARRY LITTLE PARK,Community,,,,,,,,,,,
2336,15.38,SACKVILLE RIVER LINEAR PARK,District,,,,,,,,,,,
2340,1.46,HONEYSUCKLE ROAD PARK,Neighbourhood,,,,,,,,,,,
2342,1.82,CHANI DRIVE PARK,Neighbourhood,,,,,,,,,,,
2384,3.66,VISCOUNT RUN PARK,Community,,,,,,,,,,,
2391,0.53,PIERRE GINGRAS MEMORIAL PARK,Neighbourhood,,,,,,,,,,,
2393,1.87,KINSMEN PARK,Community,,,,,,,,,,,
2400,19.34,FIRST LAKE REGIONAL PARK,Regional,,,,,,,,,,,
2424,2.36,CAUDLE PARK ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
2425,0.33,JUDY ANNE COURT PARK,Neighbourhood,,,,,,,,,,,
2428,1.87,GLENDALE DRIVE PARK,Community,,,,,,,,,,,
2432,1.23,CORRECTIONAL CENTRE PARK,District,,,,,,,,,,,
2448,1.02,MCCABE BROOK PARK,Community,,,,,,,,,,,
2451,0.16,POCKWOCK ROAD PARK,Community,,,,,,,,,,,
2452,1.3,TATTENHAM CRESCENT PARK,Neighbourhood,,,,,,,,,,,
2454,2.55,TOMAHAWK RUN PARK,Community,,,,,,,,,,,
2458,1,HAVERSTOCK DRIVE PARK,Community,,,,,,,,,,,
2459,0.86,CARMEL CRESCENT PARK,Neighbourhood,,,,,,,,,,,
2499,0.23,NEWCOMBE DRIVE PARK,Neighbourhood,,,,,,,,,,,
2519,1.72,TIMBERLANE TERRACE PARK,Neighbourhood,,,,,,,,,,,
2524,0.76,HALLOW PARK,Neighbourhood,,,,,,,,,,,
2525,9.61,WINSLOW DRIVE PARK,Community,,,,,,,,,,,
2526,4.97,ST. MARGARET'S BAY CENTRE,District,,,,,,,,,,,
2528,0.99,LISLE LAKE COURT PARK,Community,,,,,,,,,,,
2533,3.08,MACLENNAN DRIVE PARK,Community,,,,,,,,,,,
2545,3.15,METROPOLITAN AVENUE PARK,District,,,,,,,,,,,
2561,4.01,GORDON R. SNOW COMMUNITY CENTRE PARK,District,,,,,,,,,,,
2562,4.15,MELTZER COMMON PARK,Community,,,,,,,,,,,
2564,2.19,RICHARDSON DRIVE PARK,Community,,,,,,,,,,,
2570,1.37,RYAN ROSEN PARK,Community,,,,,,,,,,,
2572,0.21,RAENA JUNE PERRY MEMORIAL PARK,Neighbourhood,,,,,,,,,,,
2580,18.41,WEIR PARK,District,,,,,,,,,,,
2609,3.06,PERRY LAKE PARK,Community,,,,,,,,,,,
2613,0.13,NOTTINGHAM LANE PARK,Neighbourhood,,,,,,,,,,,
2616,2.91,CANTERBURY LANE PARK,Neighbourhood,,,,,,,,,,,
2625,0.44,WAVERLEY ON THE GREEN PARK,Community,,,,,,,,,,,
2633,0.18,RIDGE AVENUE PARK,Neighbourhood,,,,,,,,,,,
2640,0.36,BARRETT LAKE PARK,Community,,,,,,,,,,,
2644,1.78,JOAN DRIVE PARK,Neighbourhood,,,,,,,,,,,
2647,0.17,MAJESTIC AVENUE PARK,Community,,,,,,,,,,,
2649,3.29,MONARCH RIVENDALE PARK,Community,,,,,,,,,,,
2652,1.52,TAYLOR DRIVE PARK,Neighbourhood,,,,,,,,,,,
2654,4.61,DUCK LAKE BROOK GREENWAY PARK,Neighbourhood,,,,,,,,,,,
2656,3.18,WINDGATE DRIVE PARK,Community,,,,,,,,,,,
2658,2.14,TURTLE MARSH PARK,Neighbourhood,,,,,,,,,,,
2660,0.45,STONEYRIDGE LANE PARK,Neighbourhood,,,,,,,,,,,
2662,0.93,STAGE ROAD PARK,Neighbourhood,,,,,,,,,,,
2665,2.83,BROOKHILL DRIVE PARK 2,Community,,,,,,,,,,,
2666,0.42,BROOKHILL DRIVE PARK 1,Community,,,,,,,,,,,
2667,4.49,BROOKHILL DRIVE PARK 3,Community,,,,,,,,,,,
2671,0.58,CHURCH STREET PARK,Neighbourhood,,,,,,,,,,,
2672,1.38,GRAND LAKE DRIVE PARK,Neighbourhood,,,,,,,,,,,
2674,0.41,CAMERON PARK,Neighbourhood,,,,,,,,,,,
2679,0.15,THOMPSON DRIVE PARK,Neighbourhood,,,,,,,,,,,
2694,6.72,TREVOR AVENUE PARK,Community,,,,,,,,,,,
2722,0.4,DELANEY DRIVE PARK,Neighbourhood,,,,,,,,,,,
2723,0.86,SANDY LAKE ROAD PARK,Neighbourhood,,,,,,,,,,,
2724,3.81,LIZARD LAKE PARK,Neighbourhood,,,,,,,,,,,
2727,0.1,UNNAMED PARK 6,Neighbourhood,,,,,,,,,,,
2728,0.3,DOLOMITE COURT PARK,Neighbourhood,,,,,,,,,,,
2729,13.12,CONFEDERATION AVENUE PARK,Community,,,,,,,,,,,
2731,1.73,ST. ANDREW'S PARK,Community,,,,,,,,,,,
2736,0.42,TWINING DRIVE PARK,Neighbourhood,,,,,,,,,,,
2738,1.22,TAMARACK HILLS PARK,Neighbourhood,,,,,,,,,,,
2747,1.75,UPLANDS PARK,Community,,,,,,,,,,,
2748,0.25,SUNNYVIEW TERRACE PARK,Neighbourhood,,,,,,,,,,,
2750,0.33,LAKEVIEW TERRACE PARK,Community,,,,,,,,,,,
2751,2.02,KINGSWOOD DRIVE PARK,Neighbourhood,,,,,,,,,,,
2752,2.73,VOYAGEUR WAY PARK,Community,,,,,,,,,,,
2753,0.38,THOMPSONS POND PARK,Community,,,,,,,,,,,
2759,1.52,BLUE FOREST LANE PARK,Neighbourhood,,,,,,,,,,,
2761,0.52,SYLVANIA TERRACE PARK,Community,,,,,,,,,,,
2768,0.61,GREENHILL ROAD PARK,Neighbourhood,,,,,,,,,,,
2781,3.58,SPRYFIELD LIONS CLUB ARENA,District,,,,,,,,,,,
2782,0.21,SPENCER HOUSE PARK,Community,,,,,,,,,,,
2810,0.5,NADINE DRIVE PARK,Neighbourhood,,,,,,,,,,,
2835,0.26,SCHMIDT LAKE PARK,Community,,,,,,,,,,,
2837,6.71,BLUE MOUNTAIN DRIVE PARK,Community,,,,,,,,,,,
2838,2.32,HIGHLAND PARK,Community,,,,,,,,,,,
2845,0.64,RISING SUN TRAIL PARK,Neighbourhood,,,,,,,,,,,
2854,5.5,LAKESHORE DRIVE PARK,Community,,,,,,,,,,,
2855,1.87,BRISTOL AVENUE PARK,Neighbourhood,,,,,,,,,,,
2858,12.53,WEST KINGSWOOD PARK,Community,,,,,,,,,,,
2860,1.26,FLAT LAKE PARK,Community,,,,,,,,,,,
2862,0.59,SEABRIGHT PARK,Neighbourhood,,,,,,,,,,,
2873,0.32,PORTUGUESE COVE PARK,Community,,,,,,,,,,,
2875,48.02,HARRIETSFIELD SAMBRO VOLUNTEER FIRE STATION LANDS,Community,,,,,,,,,,,
2892,0.21,OLDHAM ROAD PARK,Neighbourhood,,,,,,,,,,,
2904,0.48,LEEWARD AVENUE PARK,Community,,,,,,,,,,,
2906,1.78,LEWIS LAKE TERRACE PARK,Community,,,,,,,,,,,
2910,0.12,LAUNCH PARK,Community,,,,,,,,,,,
2913,0.77,SHERWOOD PARK,Neighbourhood,,,,,,,,,,,
2917,4.58,HALIBURTON PARK,Community,,,,,,,,,,,
2920,3.92,COYOTE PARK,Community,,,,,,,,,,,
2921,0.68,COLLINS ROAD PARK,Neighbourhood,,,,,,,,,,,
2930,0.77,EAST DOVER VILLAGE GREEN PARK,Community,,,,,,,,,,,
2938,0.39,MCDONALD LAKE PARK,Community,,,,,,,,,,,
2939,2.37,PROSPECT ROAD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
2952,0.14,BROOKVIEW DRIVE PARK,Community,,,,,,,,,,,
2965,37.2,DEEPRUN DRIVE PARK,Community,,,,,,,,,,,
2978,1.14,BINGHAM DRIVE PARK,Neighbourhood,,,,,,,,,,,
2980,0.4,ELBOW LAKE PARK,Neighbourhood,,,,,,,,,,,
2987,3.76,ABBEY ROAD PARK,Community,,,,,,,,,,,
3000,1.03,JABARU LANE PARK,Neighbourhood,,,,,,,,,,,
3001,0.55,BLUFF TRAIL PARK,District,,,,,,,,,,,
3048,2.25,HALIFAX CHRISTIAN ACADEMY,Community,,,,,,,,,,,
3054,5.89,BEECHVILLE LAKESIDE TIMBERLEA SCHOOL PARK,Community,,,,,,,,,,,
3056,0.35,SKORA PARK,Regional,,,,,,,,,,,
3057,1.18,MAHAR DRIVE PARK,Neighbourhood,,,,,,,,,,,
3058,0.17,PROSPECT BAY VIEW PARK,Community,,,,,,,,,,,
3060,2.74,ATLANTIC MEMORIAL ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
3064,0.26,BRENNANS ROAD PARK,Community,,,,,,,,,,,
3065,2.22,HAGES LANE PARK,Community,,,,,,,,,,,
3068,0.87,TERENCE BAY RIVER PARK,District,,,,,,,,,,,
3072,0.64,HIGH HEAD TRAIL PARK,District,,,,,,,,,,,
3073,0.12,COVE ROAD PARK,Neighbourhood,,,,,,,,,,,
3074,0.14,PROSPECT BAY ROAD PARK,District,,,,,,,,,,,
3076,0.56,DEMERS ROAD PARK,Community,,,,,,,,,,,
3079,0.07,RAT ISLAND VIEW PARK,District,,,,,,,,,,,
3086,2.25,WESTRIDGE ROAD PARK,Community,,,,,,,,,,,
3087,2.47,CAMPBELL POINT PARK,District,,,,,,,,,,,
3091,5.58,GLENGARRY ESTATES PARK,Community,,,,,,,,,,,
3094,0.04,SILVER MAPLE DRIVE PARK,Community,,,,,,,,,,,
3098,1.36,GREENWOOD HEIGHTS PARK,Community,,,,,,,,,,,
3108,1.18,RUN LAKE PARK,Community,,,,,,,,,,,
3111,0.64,LOVERS COVE PARK,Neighbourhood,,,,,,,,,,,
3112,1.96,WENDY'S MEADOW PARK,Neighbourhood,,,,,,,,,,,
3114,0.62,SARAH INGRAHAM DRIVE PARK,Neighbourhood,,,,,,,,,,,
3119,0.83,LEE MURPHY CRESCENT PARK,Neighbourhood,,,,,,,,,,,
3122,0.74,ACRES ROAD PARK,Neighbourhood,,,,,,,,,,,
3147,0.16,RIVERVIEW DRIVE PARK,District,,,,,,,,,,,
3165,2.17,UNNAMED PARK 15,Neighbourhood,,,,,,,,,,,
3169,0.17,ELGIN STREET PARK,Neighbourhood,,,,,,,,,,,
3209,0.13,LOWER PROSPECT ROAD PARK,Neighbourhood,,,,,,,,,,,
3217,2.12,BIRCH BEAR RUN PARK,Neighbourhood,,,,,,,,,,,
3222,0.3,SHELDRAKE LAKE PARK,Neighbourhood,,,,,,,,,,,
3223,0.12,UNNAMED PARK 18,,,,,,,,,,,,
3224,4.03,KIDSTON LAKE PARK,District,,,,,,,,,,,
3234,16.95,WILLIAMSWOOD RECREATION PARK,Community,,,,,,,,,,,
3239,6.03,UNNAMED PARK 5,Community,,,,,,,,,,,
3240,2.66,WENDYBROOK DRIVE PARK,Neighbourhood,,,,,,,,,,,
3242,0.06,OMEGA COURT PARK,Neighbourhood,,,,,,,,,,,
3243,1.3,LAKE OF THE WOODS PARK,Community,,,,,,,,,,,
3244,0.51,FIVE ISLAND LAKE PARK,Community,,,,,,,,,,,
3245,3.27,BIG HUBLEY LAKE ROAD PARK,Community,,,,,,,,,,,
3249,0.2,GLEN HAVEN COMMUNITY CENTRE PARK,Community,,,,,,,,,,,
3260,0.71,FIRST POND DRIVE PARK,Neighbourhood,,,,,,,,,,,
3267,0.33,HEAD OF ST MARGARETS BAY VIEW PARK,Community,,,,,,,,,,,
3269,1.33,R. S. ALLEN MEMORIAL PARK,Community,,,,,,,,,,,
3272,0.34,ALLEN HEIGHTS PARK,Community,,,,,,,,,,,
3273,0.18,TIDEWATER LANE PARK,Community,,,,,,,,,,,
3280,0.38,GLENWOOD DRIVE  PARK,Community,,,,,,,,,,,
3282,0.2,UNNAMED PARK 17,Community,,,,,,,,,,,
3283,0.85,PARKLEA DRIVE PARK,Community,,,,,,,,,,,
3284,0.11,UNNAMED PARK 11,Community,,,,,,,,,,,
3287,1.25,TONI AVENUE PARK,Community,,,,,,,,,,,
3303,0.49,WILSON LAKE DRIVE PARK,Neighbourhood,,,,,,,,,,,
3305,0.36,LARRIGAN DRIVE PARK,Community,,,,,,,,,,,
3327,2.27,WILLARD CHRISTIE MEMORIAL PARK,Community,,,,,,,,,,,
3329,0.37,MASONS POINT PARK,Neighbourhood,,,,,,,,,,,
3331,2.4,BAY LOOK OFF PARK,District,,,,,,,,,,,
3343,0.86,SANDWICK DRIVE PARK,Community,,,,,,,,,,,
3348,11.86,WHITE HILLS PARK,Community,,,,,,,,,,,
3349,0.61,WESTPOINT DRIVE PARK,Community,,,,,,,,,,,
3350,0.5,MILLSTONE COURT PARK,Neighbourhood,,,,,,,,,,,
3369,2.75,LINDFOREST PARK,Community,,,,,,,,,,,
3377,0.97,ARMCREST PARK,Neighbourhood,,,,,,,,,,,
3389,4.99,UNNAMED PARK 16,Community,,,,,,,,,,,
3394,1.29,BEAVER LAKE PARK,Community,,,,,,,,,,,
3395,0.96,JADRY COURT PARK,Neighbourhood,,,,,,,,,,,
3396,2.14,QUINTIN SILAS PATTERSON MEMORIAL PARK,Community,,,,,,,,,,,
3399,0.41,HALFWAY LAKE PARK,Community,,,,,,,,,,,
3400,0.52,SALTY DIPS PARK,Neighbourhood,,,,,,,,,,,
3402,1.26,MICMAC DRIVE PARK,Community,,,,,,,,,,,
3404,1.33,GLEN ARBOUR WAY PARK,Community,,,,,,,,,,,
3405,0.07,BALCOM PARK,Community,,,,,,,,,,,
3410,2.08,TRANSOM DRIVE PARK,Neighbourhood,,,,,,,,,,,
3422,16.83,WEST DOVER PARK,Community,,,,,,,,,,,
3478,24.49,CYRIL SMITH PARK,Community,,,,,,,,,,,
3482,26.58,DARTMOUTH HARBOUR EAST RECREATION CAMPUS,District,,,,,,,,,,,
3484,1.4,FOREST HILLS GREENWAY PARK,Community,,,,,,,,,,,
3486,0.37,ORKNEY DRIVE PARK,Neighbourhood,,,,,,,,,,,
3488,0.8,CORNWALLIS PARK,Community,,,,,,,,,,,
3489,0.51,HOWE STREET PARK,Community,,,,,,,,,,,
3490,0.12,HEBB PARK,Community,,,,,,,,,,,
3492,0.19,RIDGEVALE DRIVE PARK 1,Community,,,,,,,,,,,
3495,2.03,CUNARD JUNIOR HIGH SCHOOL PARK,District,,,,,,,,,,,
3496,0.43,SPRINGFIELD LAKE BEACH PARK,District,,,,,,,,,,,
3497,1.08,WESTWOOD PARK,Community,,,,,,,,,,,
3499,0.08,MERIDIAN COURT PARK,Community,,,,,,,,,,,
3500,0.09,ABERDEEN COURT PARK,Community,,,,,,,,,,,
3501,3.95,CARL MORASH MEMORIAL PARK,District,,,,,,,,,,,
3502,52.31,MACDONALD SPORTS PARK,District,,,,,,,,,,,
3587,7.36,ECOLE DU CARREFOUR PARK,Community,,,,,,,,,,,
3588,5.22,ECOLE BOIS-JOLI PARK,Community,,,,,,,,,,,
3589,0.33,COOKS BROOK PARK,Community,,,,,,,,,,,
3591,3.74,ECOLE BEAUBASSIN PARK,Community,,,,,,,,,,,
3594,2.77,IRA SETTLE PARK,Community,,,,,,,,,,,
3595,0.25,BELMONT AVENUE PARK,Neighbourhood,,,,,,,,,,,
3598,4.2,DARTMOUTH SOUTH ACADEMY PARK,Community,,,,,,,,,,,
3600,0.16,BAYERS ROAD WINDSOR STREET PARK,Community,,,,,,,,,,,
3601,0.07,SHREWSBURY ROAD PARK,Neighbourhood,,,,,,,,,,,
3602,0.16,SHERWOOD STREET PARK,Neighbourhood,,,,,,,,,,,
4002,0.39,GAMMON LAKE COMMUNITY PARK,Community,,,,,,,,,,,
4004,2.79,FRESHWATER TRAIL PARK,Community,,,,,,,,,,,
4005,0.08,PINECREST PARK,Community,,,,,,,,,,,
4006,0.41,CUTTER DRIVE PARK,Neighbourhood,,,,,,,,,,,
4007,3.2,TANTALLON SENIOR ELEMENTARY PARK,Community,,,,,,,,,,,
4008,5.03,TANTALLON JUNIOR ELEMENTARY PARK,Community,,,,,,,,,,,
4009,7.04,HAMMONDS PLAINS CONSOLIDATED ELEMENTARY SCHOOL,Community,,,,,,,,,,,
4010,1.94,LEMARCHANT-ST. THOMAS ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4011,0.7,ECOLE BEAUFORT PARK,Community,,,,,,,,,,,
4014,0.73,SIR CHARLES TUPPER ELEMENTARY SCHOOL PARK,Neighbourhood,,,,,,,,,,,
4015,1.4,JOHN W. MACLEOD PARK,Community,,,,,,,,,,,
4016,1.47,FLEMING TOWER PARK,Community,,,,,,,,,,,
4017,2.09,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4018,1.41,SPRINGVALE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4019,0.65,SAMBRO ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4020,2.01,HARRIETSFIELD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4021,3.7,J. L. ILSLEY HIGH SCHOOL PARK,Community,,,,,,,,,,,
4022,1.22,CENTRAL SPRYFIELD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4023,3.05,HERRING COVE JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
4024,1.11,ROCKINGHAM ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4025,2.05,ST. AGNES JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
4026,3.87,WESTMOUNT ELEMENTARY SCHOOL PARK,District,,,,,,,,,,,
4027,0.97,OXFORD SCHOOL PARK,Community,,,,,,,,,,,
4028,0.24,ASHBURN PARK,Community,,,,,,,,,,,
4029,1.37,BURTON ETTINGER SCHOOL PARK,Community,,,,,,,,,,,
4030,3.19,DUC D'ANVILLE SCHOOL PARK,Community,,,,,,,,,,,
4031,2.39,CLAYTON PARK JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
4032,0.75,FAIRVIEW HEIGHTS ANNEX ELEMENTARY PARK,Community,,,,,,,,,,,
4033,3.49,FAIRVIEW HEIGHTS ELEMENTARY/JUNIOR HIGH PARK,Community,,,,,,,,,,,
4034,0.05,FLEETVIEW DRIVE PARK,Neighbourhood,,,,,,,,,,,
4035,7.77,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL PARK,Regional,,,,,,,,,,,
4036,5.04,MILLWOOD HIGH SCHOOL PARK,Community,,,,,,,,,,,
4037,2.68,MILLWOOD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
4038,4.45,ELIZABETH SUTHERLAND SCHOOL PARK,Community,,,,,,,,,,,
4039,0.57,FORT SACKVILLE SCHOOL PARK,Community,,,,,,,,,,,
4040,2.29,BASINVIEW DRIVE COMMUNITY SCHOOL PARK,Community,,,,,,,,,,,
4041,0.26,RIDGEVALE DRIVE PARK 2,Community,,,,,,,,,,,
4042,0.07,BASINVIEW DRIVE PARK,Community,,,,,,,,,,,
5002,5.41,EASTERN PASSAGE EDUCATION CENTRE,Community,,,,,,,,,,,
5004,9.77,MADELINE SYMONDS MIDDLE SCHOOL PARK,Community,,,,,,,,,,,
5005,7.64,PARK WEST SCHOOL PARK,Community,,,,,,,,,,,
5006,6.66,PORTLAND ESTATES SCHOOL PARK,Community,,,,,,,,,,,
5007,5.17,RIDGECLIFF MIDDLE SCHOOL PARK,Community,,,,,,,,,,,
5008,5.2,SACKVILLE HEIGHTS ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5009,5.17,ST. MARGARET'S BAY ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5010,4.87,BEDFORD SOUTH SCHOOL PARK,Community,,,,,,,,,,,
5011,8.02,BELL BROOK PARK,Community,,,,,,,,,,,
5012,9.38,WYNDHAM DRIVE PARK,Community,,,,,,,,,,,
5015,0.86,KERRY DRIVE PARK,Neighbourhood,,,,,,,,,,,
5016,3.48,ROSS ROAD SCHOOL PARK,Community,,,,,,,,,,,
5017,2.36,HARBOUR VIEW ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5018,14.34,LOCKVIEW HIGH SCHOOL PARK,Community,,,,,,,,,,,
5019,2.97,ASH LEE JEFFERSON ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5020,3.77,HARRY R. HAMILTON ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5021,3.93,COLE HARBOUR DISTRICT HIGH SCHOOL PARK,District,,,,,,,,,,,
5022,7.08,ASTRAL DRIVE ELEMENTARY & JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
5029,0.46,SOUTHBROOK CRESCENT PARK,Neighbourhood,,,,,,,,,,,
5030,0.62,CONIFER COURT PARK,Neighbourhood,,,,,,,,,,,
5032,5.28,OAKEN HILLS PARK,Community,,,,,,,,,,,
5033,6.71,LOST CREEK PARK,Community,,,,,,,,,,,
5035,2.66,GEORGE BISSETT ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5036,1.38,ALDERNEY ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5037,1.05,HAWTHORN ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5038,4.29,COLBY VILLAGE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5039,3.76,CALDWELL ROAD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5040,1.47,HILLSIDE ELEMENTARY PARK SCHOOL PARK,Community,,,,,,,,,,,
5041,3.55,A. J. SMELTZER JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
5042,2.39,SACKVILLE CENTENNIAL ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5043,4.39,SACKVILLE HIGH SCHOOL PARK,District,,,,,,,,,,,
5044,2.87,LESLIE THOMAS JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
5045,3.36,CAVALIER DRIVE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5046,2.33,ECOLE DU GRAND-PORTAGE PARK,Community,,,,,,,,,,,
5047,2.95,SMOKEY DRIVE ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5048,14.12,SIR JOHN A. MACDONALD HIGH SCHOOL PARK,District,,,,,,,,,,,
5049,8.84,FIVE BRIDGES JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
5050,2.11,JOSEPH GILES ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5051,2.08,ROBERT KEMP TURNER ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5052,4.86,SIR ROBERT BORDEN JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
5053,1.77,MOUNT EDWARD ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5054,2.95,ELLENVALE JUNIOR HIGH/BROOKHOUSE ELEMENTARY PARK,Community,,,,,,,,,,,
5055,4.14,PRINCE ANDREW HIGH SCHOOL PARK,District,,,,,,,,,,,
5056,1.78,IAN FORSYTH ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5057,0.56,WAVERLEY ROAD PARK,Community,,,,,,,,,,,
5058,0.08,MELROSE CRESCENT PARK,Neighbourhood,,,,,,,,,,,
5059,32.09,ATLANTIC VIEW REGIONAL TRAIL PARK,Regional,,,,,,,,,,,
5060,3.98,CRICHTON PARK ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5061,1.32,HIGHLAND PARK JUNIOR HIGH SCHOOL PARK,District,,,,,,,,,,,
5062,2.2,ST. STEPHEN'S ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5063,0.63,ST JOSEPH'S-ALEXANDER MCKAY ELEMENTARY SCHOOL PARK,Community,,,,,,,,,,,
5064,11.86,LINEAR PARK,Regional,,,,,,,,,,,
5066,0.7,LACEWOOD DRIVE PARK,Neighbourhood,,,,,,,,,,,
